id;tournament_id;name;display_order;created_at;include_doubles_in_singles
b5009e50-d29b-4ef7-8225-de5e71da4108;047efdd7-d6f1-41e1-8483-eedd59af8c7f;Group A;0;2026-02-02 07:59:22.343848+00;true
9d947f07-6d0b-4172-af0c-be81e8e4465c;5002f475-a45e-405e-8f5e-000ec27207a1;Group A;0;2026-02-27 01:17:45.792336+00;true
f82a2d49-acf3-4592-a6b6-b27ada8359e9;5002f475-a45e-405e-8f5e-000ec27207a1;3/2026;	-1;2026-02-27 01:30:13.704462+00;true
2e10d6a8-d512-4b9d-a51d-06f4f90c0902;1271f3a2-d3e8-4bc4-8742-3f73d1c75b50;Group A;0;2026-03-03 04:05:19.033295+00;true
18bc26da-024e-489d-8eb0-e9a2e274f550;4b48fa58-fd5d-4711-bc6d-d52f75136a51;Vòng tròn;	-1;2026-03-19 02:00:19.096739+00;true
b29d6c5a-5e8a-4164-b997-55ac2f9c6c74;a9067807-29ba-42ff-b976-fd74dc26457f;Vòng tròn;	-1;2026-03-22 08:55:06.861783+00;true
b3a0eef8-c895-4b77-855b-6672d8091940;b2840438-9460-40da-b2cf-546f35d185df;Group A;0;2026-03-23 09:24:16.637558+00;true
8d77352e-25f8-481e-a12e-d8b9b7e0194e;d9751ec3-15bd-4038-b1de-9b98abee23fa;Group A;0;2026-03-27 07:32:09.127706+00;true
2aefc098-b540-4018-a754-853715fb2c65;d9751ec3-15bd-4038-b1de-9b98abee23fa;A;	-1;2026-03-27 07:36:07.193631+00;true
df196339-f1b0-464b-9e39-d7ef11274252;eea0f4df-6433-4298-8173-37ed923db7d6;Group A;0;2026-04-01 20:08:15.077759+00;true
cf416188-5d94-4b05-bcb3-1b267d488e28;53077544-419f-4f69-805b-611d031d6bc1;A;	-1;2026-01-30 00:54:36.177339+00;true
62d81a7d-a68f-40f6-a2d6-892c906b6663;53077544-419f-4f69-805b-611d031d6bc1;B;	-2;2026-01-30 00:58:37.062873+00;true
b416904c-19e5-470e-862a-e5b89bb97aa8;53077544-419f-4f69-805b-611d031d6bc1;C;	-3;2026-01-30 00:58:48.344703+00;true
dfc011a4-91aa-4272-b186-9a8dd88da384;53077544-419f-4f69-805b-611d031d6bc1;D;	-4;2026-01-30 00:59:04.009304+00;true
ce0ce8fe-5195-4127-865a-08c25bf88c6e;4a7cc1aa-1e88-49da-a501-da17c3f28388;Group A;0;2026-01-30 02:44:50.199161+00;true
bd447749-d7aa-436f-8a92-88a874ce47c3;a5f413e4-6f00-475d-90d2-596b5e299c70;Group A;0;2026-01-30 15:57:22.960585+00;true
63d5c9b5-9832-47ce-a24d-f8a04e3a4883;0d5e1f83-f227-4f1b-af0e-772052aae2cf;A;	-5;2026-01-31 02:35:05.597556+00;true
771b9a0f-b964-4cfe-9ac5-4dca9ef9c0bc;0d5e1f83-f227-4f1b-af0e-772052aae2cf;B;	-6;2026-01-31 02:35:25.868369+00;true
80e7c7ef-3be5-44b3-a648-98b8b368017f;0d5e1f83-f227-4f1b-af0e-772052aae2cf;C;	-7;2026-01-31 02:35:29.192396+00;true
858ed27e-adba-4a4b-980a-2fe56d9b8dbf;0d5e1f83-f227-4f1b-af0e-772052aae2cf;D;	-8;2026-01-31 02:35:33.579249+00;true
793155fb-7c47-450f-9292-c7299661666f;fb5e4cfd-77f8-46e2-a5f0-848c5d11029c;Tứ kết;	-5;2026-01-31 02:44:24.015836+00;true
a8479e89-3d17-408e-b7b5-bebc8a1de45c;fb5e4cfd-77f8-46e2-a5f0-848c5d11029c;Bán kết;	-6;2026-01-31 02:44:28.944418+00;true
44d34fbc-7b1a-4f78-b6c9-e09aae8b697e;fb5e4cfd-77f8-46e2-a5f0-848c5d11029c;Chung kết;	-7;2026-01-31 02:44:34.203737+00;true
0d781711-1394-43f2-a9d9-c6f80c3cd128;fb5e4cfd-77f8-46e2-a5f0-848c5d11029c;A ( 4 đội);	-8;2026-01-31 02:51:55.056552+00;true
7304cf9c-3944-46b4-b1b6-0e48b9949d0d;fb5e4cfd-77f8-46e2-a5f0-848c5d11029c;B ( 4 đội);	-9;2026-01-31 02:52:08.137235+00;true
cde6ede7-f49e-479a-a28b-64e50dc9c712;fb5e4cfd-77f8-46e2-a5f0-848c5d11029c;Play off;	-11;2026-01-31 02:56:58.065736+00;true
6b9dd493-c8c9-4c05-9e94-3a6c1bc9a1e4;0a5c39e3-c6fc-490a-abcd-f2cf301171af;Group A;0;2026-01-31 11:02:28.101475+00;true
0b1f199b-4c64-412f-9fe2-79982d4c5c3a;01efa912-877f-40e7-98af-53ce5fd67a3a;ll;	-1;2026-01-31 15:27:09.053506+00;true
c7ff67fa-6d7e-497b-b453-14d4e28339e1;fb5e4cfd-77f8-46e2-a5f0-848c5d11029c;C;	-12;2026-02-01 00:51:06.204288+00;true